442710180710;"PROGRAM XT IN 200 D";200
442710180780;"Program XT IN 280 D";280
442710180790;"Program XT IN 175 D";175
442710181505;"PROGRAM XT IN 200";200
442710181506;"PROGRAM XT IN 300 D";300
442710181507;"PROGRAM XT IN 400";400
